envmap,nb_bph_init,pr_killed,init_position
012-1x2.csv,200,0.075,border
012-1x2.csv,200,0.075,corner
012-1x2.csv,200,0.09,border
012-1x2.csv,200,0.09,corner
012-1x2.csv,200,0.12,border
012-1x2.csv,200,0.12,corner
012-1x2.csv,200,0.15,border
012-1x2.csv,200,0.15,corner
012-1x2.csv,20,0.075,border
012-1x2.csv,20,0.075,corner
012-1x2.csv,20,0.09,border
012-1x2.csv,20,0.09,corner
012-1x2.csv,20,0.12,border
012-1x2.csv,20,0.12,corner
012-1x2.csv,20,0.15,border
012-1x2.csv,20,0.15,corner
013-1x2.csv,200,0.075,border
013-1x2.csv,200,0.075,corner
013-1x2.csv,200,0.09,border
013-1x2.csv,200,0.09,corner
013-1x2.csv,200,0.12,border
013-1x2.csv,200,0.12,corner
013-1x2.csv,200,0.15,border
013-1x2.csv,200,0.15,corner
013-1x2.csv,20,0.075,border
013-1x2.csv,20,0.075,corner
013-1x2.csv,20,0.09,border
013-1x2.csv,20,0.09,corner
013-1x2.csv,20,0.12,border
013-1x2.csv,20,0.12,corner
013-1x2.csv,20,0.15,border
013-1x2.csv,20,0.15,corner
014-1x2.csv,200,0.075,border
014-1x2.csv,200,0.075,corner
014-1x2.csv,200,0.09,border
014-1x2.csv,200,0.09,corner
014-1x2.csv,200,0.12,border
014-1x2.csv,200,0.12,corner
014-1x2.csv,200,0.15,border
014-1x2.csv,200,0.15,corner
014-1x2.csv,20,0.075,border
014-1x2.csv,20,0.075,corner
014-1x2.csv,20,0.09,border
014-1x2.csv,20,0.09,corner
014-1x2.csv,20,0.12,border
014-1x2.csv,20,0.12,corner
014-1x2.csv,20,0.15,border
014-1x2.csv,20,0.15,corner
015-1x2.csv,200,0.075,border
015-1x2.csv,200,0.075,corner
015-1x2.csv,200,0.09,border
015-1x2.csv,200,0.09,corner
015-1x2.csv,200,0.12,border
015-1x2.csv,200,0.12,corner
015-1x2.csv,200,0.15,border
015-1x2.csv,200,0.15,corner
015-1x2.csv,20,0.075,border
015-1x2.csv,20,0.075,corner
015-1x2.csv,20,0.09,border
015-1x2.csv,20,0.09,corner
015-1x2.csv,20,0.12,border
015-1x2.csv,20,0.12,corner
015-1x2.csv,20,0.15,border
015-1x2.csv,20,0.15,corner
016-1x2.csv,200,0.075,border
016-1x2.csv,200,0.075,corner
016-1x2.csv,200,0.09,border
016-1x2.csv,200,0.09,corner
016-1x2.csv,200,0.12,border
016-1x2.csv,200,0.12,corner
016-1x2.csv,200,0.15,border
016-1x2.csv,200,0.15,corner
016-1x2.csv,20,0.075,border
016-1x2.csv,20,0.075,corner
016-1x2.csv,20,0.09,border
016-1x2.csv,20,0.09,corner
016-1x2.csv,20,0.12,border
016-1x2.csv,20,0.12,corner
016-1x2.csv,20,0.15,border
016-1x2.csv,20,0.15,corner
017-1x2.csv,200,0.075,border
017-1x2.csv,200,0.075,corner
017-1x2.csv,200,0.09,border
017-1x2.csv,200,0.09,corner
017-1x2.csv,200,0.12,border
017-1x2.csv,200,0.12,corner
017-1x2.csv,200,0.15,border
017-1x2.csv,200,0.15,corner
017-1x2.csv,20,0.075,border
017-1x2.csv,20,0.075,corner
017-1x2.csv,20,0.09,border
017-1x2.csv,20,0.09,corner
017-1x2.csv,20,0.12,border
017-1x2.csv,20,0.12,corner
017-1x2.csv,20,0.15,border
017-1x2.csv,20,0.15,corner
018-1x2.csv,200,0.075,border
018-1x2.csv,200,0.075,corner
018-1x2.csv,200,0.09,border
018-1x2.csv,200,0.09,corner
018-1x2.csv,200,0.12,border
018-1x2.csv,200,0.12,corner
018-1x2.csv,200,0.15,border
018-1x2.csv,200,0.15,corner
018-1x2.csv,20,0.075,border
018-1x2.csv,20,0.075,corner
018-1x2.csv,20,0.09,border
018-1x2.csv,20,0.09,corner
018-1x2.csv,20,0.12,border
018-1x2.csv,20,0.12,corner
018-1x2.csv,20,0.15,border
018-1x2.csv,20,0.15,corner
019-1x2.csv,200,0.075,border
019-1x2.csv,200,0.075,corner
019-1x2.csv,200,0.09,border
019-1x2.csv,200,0.09,corner
019-1x2.csv,200,0.12,border
019-1x2.csv,200,0.12,corner
019-1x2.csv,200,0.15,border
019-1x2.csv,200,0.15,corner
019-1x2.csv,20,0.075,border
019-1x2.csv,20,0.075,corner
019-1x2.csv,20,0.09,border
019-1x2.csv,20,0.09,corner
019-1x2.csv,20,0.12,border
019-1x2.csv,20,0.12,corner
019-1x2.csv,20,0.15,border
019-1x2.csv,20,0.15,corner
020-1x2.csv,200,0.075,border
020-1x2.csv,200,0.075,corner
020-1x2.csv,200,0.09,border
020-1x2.csv,200,0.09,corner
020-1x2.csv,200,0.12,border
020-1x2.csv,200,0.12,corner
020-1x2.csv,200,0.15,border
020-1x2.csv,200,0.15,corner
020-1x2.csv,20,0.075,border
020-1x2.csv,20,0.075,corner
020-1x2.csv,20,0.09,border
020-1x2.csv,20,0.09,corner
020-1x2.csv,20,0.12,border
020-1x2.csv,20,0.12,corner
020-1x2.csv,20,0.15,border
020-1x2.csv,20,0.15,corner
12-3x3.csv,200,0.075,border
12-3x3.csv,200,0.075,corner
12-3x3.csv,200,0.09,border
12-3x3.csv,200,0.09,corner
12-3x3.csv,200,0.12,border
12-3x3.csv,200,0.12,corner
12-3x3.csv,200,0.15,border
12-3x3.csv,200,0.15,corner
12-3x3.csv,20,0.075,border
12-3x3.csv,20,0.075,corner
12-3x3.csv,20,0.09,border
12-3x3.csv,20,0.09,corner
12-3x3.csv,20,0.12,border
12-3x3.csv,20,0.12,corner
12-3x3.csv,20,0.15,border
12-3x3.csv,20,0.15,corner
13-3x3.csv,200,0.075,border
13-3x3.csv,200,0.075,corner
13-3x3.csv,200,0.09,border
13-3x3.csv,200,0.09,corner
13-3x3.csv,200,0.12,border
13-3x3.csv,200,0.12,corner
13-3x3.csv,200,0.15,border
13-3x3.csv,200,0.15,corner
13-3x3.csv,20,0.075,border
13-3x3.csv,20,0.075,corner
13-3x3.csv,20,0.09,border
13-3x3.csv,20,0.09,corner
13-3x3.csv,20,0.12,border
13-3x3.csv,20,0.12,corner
13-3x3.csv,20,0.15,border
13-3x3.csv,20,0.15,corner
14-3x3.csv,200,0.075,border
14-3x3.csv,200,0.075,corner
14-3x3.csv,200,0.09,border
14-3x3.csv,200,0.09,corner
14-3x3.csv,200,0.12,border
14-3x3.csv,200,0.12,corner
14-3x3.csv,200,0.15,border
14-3x3.csv,200,0.15,corner
14-3x3.csv,20,0.075,border
14-3x3.csv,20,0.075,corner
14-3x3.csv,20,0.09,border
14-3x3.csv,20,0.09,corner
14-3x3.csv,20,0.12,border
14-3x3.csv,20,0.12,corner
14-3x3.csv,20,0.15,border
14-3x3.csv,20,0.15,corner
15-3x3.csv,200,0.075,border
15-3x3.csv,200,0.075,corner
15-3x3.csv,200,0.09,border
15-3x3.csv,200,0.09,corner
15-3x3.csv,200,0.12,border
15-3x3.csv,200,0.12,corner
15-3x3.csv,200,0.15,border
15-3x3.csv,200,0.15,corner
15-3x3.csv,20,0.075,border
15-3x3.csv,20,0.075,corner
15-3x3.csv,20,0.09,border
15-3x3.csv,20,0.09,corner
15-3x3.csv,20,0.12,border
15-3x3.csv,20,0.12,corner
15-3x3.csv,20,0.15,border
15-3x3.csv,20,0.15,corner
16-3x3.csv,200,0.075,border
16-3x3.csv,200,0.075,corner
16-3x3.csv,200,0.09,border
16-3x3.csv,200,0.09,corner
16-3x3.csv,200,0.12,border
16-3x3.csv,200,0.12,corner
16-3x3.csv,200,0.15,border
16-3x3.csv,200,0.15,corner
16-3x3.csv,20,0.075,border
16-3x3.csv,20,0.075,corner
16-3x3.csv,20,0.09,border
16-3x3.csv,20,0.09,corner
16-3x3.csv,20,0.12,border
16-3x3.csv,20,0.12,corner
16-3x3.csv,20,0.15,border
16-3x3.csv,20,0.15,corner
17-3x3.csv,200,0.075,border
17-3x3.csv,200,0.075,corner
17-3x3.csv,200,0.09,border
17-3x3.csv,200,0.09,corner
17-3x3.csv,200,0.12,border
17-3x3.csv,200,0.12,corner
17-3x3.csv,200,0.15,border
17-3x3.csv,200,0.15,corner
17-3x3.csv,20,0.075,border
17-3x3.csv,20,0.075,corner
17-3x3.csv,20,0.09,border
17-3x3.csv,20,0.09,corner
17-3x3.csv,20,0.12,border
17-3x3.csv,20,0.12,corner
17-3x3.csv,20,0.15,border
17-3x3.csv,20,0.15,corner
18-3x3.csv,200,0.075,border
18-3x3.csv,200,0.075,corner
18-3x3.csv,200,0.09,border
18-3x3.csv,200,0.09,corner
18-3x3.csv,200,0.12,border
18-3x3.csv,200,0.12,corner
18-3x3.csv,200,0.15,border
18-3x3.csv,200,0.15,corner
18-3x3.csv,20,0.075,border
18-3x3.csv,20,0.075,corner
18-3x3.csv,20,0.09,border
18-3x3.csv,20,0.09,corner
18-3x3.csv,20,0.12,border
18-3x3.csv,20,0.12,corner
18-3x3.csv,20,0.15,border
18-3x3.csv,20,0.15,corner
19-3x3.csv,200,0.075,border
19-3x3.csv,200,0.075,corner
19-3x3.csv,200,0.09,border
19-3x3.csv,200,0.09,corner
19-3x3.csv,200,0.12,border
19-3x3.csv,200,0.12,corner
19-3x3.csv,200,0.15,border
19-3x3.csv,200,0.15,corner
19-3x3.csv,20,0.075,border
19-3x3.csv,20,0.075,corner
19-3x3.csv,20,0.09,border
19-3x3.csv,20,0.09,corner
19-3x3.csv,20,0.12,border
19-3x3.csv,20,0.12,corner
19-3x3.csv,20,0.15,border
19-3x3.csv,20,0.15,corner
20-3x3.csv,200,0.075,border
20-3x3.csv,200,0.075,corner
20-3x3.csv,200,0.09,border
20-3x3.csv,200,0.09,corner
20-3x3.csv,200,0.12,border
20-3x3.csv,200,0.12,corner
20-3x3.csv,200,0.15,border
20-3x3.csv,200,0.15,corner
20-3x3.csv,20,0.075,border
20-3x3.csv,20,0.075,corner
20-3x3.csv,20,0.09,border
20-3x3.csv,20,0.09,corner
20-3x3.csv,20,0.12,border
20-3x3.csv,20,0.12,corner
20-3x3.csv,20,0.15,border
20-3x3.csv,20,0.15,corner
